Delivery_ID,Driver_ID,Timestamp,Order_Value_INR,Distance_Variance_Pct,Flag_Distance_Tampering,Flag_High_Value_Leakage,Flag_GPS_Spoofing,Total_Risk_Score,Risk_Category
DEL-10620,DRV-045,02-09-2026 09:52,3308,4.24,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10263,DRV-046,02-09-2026 08:41,10644,3.56,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10189,DRV-047,02-09-2026 08:06,10170,1.71,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10094,DRV-049,02-09-2026 08:54,21394,3.51,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10670,DRV-049,02-09-2026 10:24,4740,3.54,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10027,DRV-050,02-09-2026 08:10,518,2.97,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10615,DRV-002,02-09-2026 10:06,21412,2.84,0,1,0,2,High Risk (Financial Leakage)
DEL-10169,DRV-003,02-09-2026 08:52,19839,4.41,0,1,0,2,High Risk (Financial Leakage)
DEL-10393,DRV-003,02-09-2026 09:08,17618,4.75,0,1,0,2,High Risk (Financial Leakage)
DEL-10881,DRV-006,02-09-2026 10:06,19935,2.11,0,1,0,2,High Risk (Financial Leakage)
DEL-10674,DRV-007,02-09-2026 10:23,19789,1.21,0,1,0,2,High Risk (Financial Leakage)
DEL-10812,DRV-008,02-09-2026 10:04,18593,3.77,0,1,0,2,High Risk (Financial Leakage)
DEL-10507,DRV-009,02-09-2026 09:40,23810,4.01,0,1,0,2,High Risk (Financial Leakage)
DEL-10845,DRV-009,02-09-2026 10:56,18410,2.96,0,1,0,2,High Risk (Financial Leakage)
DEL-10208,DRV-010,02-09-2026 09:03,18201,1.42,0,1,0,2,High Risk (Financial Leakage)
DEL-10305,DRV-010,02-09-2026 09:38,22719,1.52,0,1,0,2,High Risk (Financial Leakage)
DEL-10031,DRV-011,02-09-2026 08:43,20376,4.64,0,1,0,2,High Risk (Financial Leakage)
DEL-10141,DRV-011,02-09-2026 09:02,23152,1.9,0,1,0,2,High Risk (Financial Leakage)
DEL-10516,DRV-011,02-09-2026 09:56,15886,5.01,0,1,0,2,High Risk (Financial Leakage)
DEL-10706,DRV-011,02-09-2026 10:26,15877,1.32,0,1,0,2,High Risk (Financial Leakage)
DEL-10732,DRV-011,02-09-2026 10:41,22893,4.37,0,1,0,2,High Risk (Financial Leakage)
DEL-10108,DRV-013,02-09-2026 08:15,22606,1.53,0,1,0,2,High Risk (Financial Leakage)
DEL-10526,DRV-014,02-09-2026 09:14,22773,4.41,0,1,0,2,High Risk (Financial Leakage)
DEL-10568,DRV-014,02-09-2026 09:26,15682,1.36,0,1,0,2,High Risk (Financial Leakage)
DEL-10471,DRV-016,02-09-2026 09:15,15870,3.26,0,1,0,2,High Risk (Financial Leakage)
DEL-10140,DRV-017,02-09-2026 08:29,18861,3.17,0,1,0,2,High Risk (Financial Leakage)
DEL-10210,DRV-017,02-09-2026 08:55,24804,4,0,1,0,2,High Risk (Financial Leakage)
DEL-10617,DRV-017,02-09-2026 09:03,18329,2.56,0,1,0,2,High Risk (Financial Leakage)
DEL-10095,DRV-018,02-09-2026 08:23,23881,2.14,0,1,0,2,High Risk (Financial Leakage)
DEL-10161,DRV-018,02-09-2026 08:51,16310,2.81,0,1,0,2,High Risk (Financial Leakage)
DEL-10447,DRV-018,02-09-2026 09:24,15263,2.45,0,1,0,2,High Risk (Financial Leakage)
DEL-10157,DRV-019,02-09-2026 08:27,23380,1.07,0,1,0,2,High Risk (Financial Leakage)
DEL-10007,DRV-023,02-09-2026 08:06,20282,3.92,0,1,0,2,High Risk (Financial Leakage)
DEL-10595,DRV-024,02-09-2026 09:46,22196,2.36,0,1,0,2,High Risk (Financial Leakage)
DEL-10011,DRV-025,02-09-2026 08:11,21330,2.55,0,1,0,2,High Risk (Financial Leakage)
DEL-10168,DRV-025,02-09-2026 08:35,17445,3,0,1,0,2,High Risk (Financial Leakage)
DEL-10448,DRV-025,02-09-2026 09:16,18145,1.3,0,1,0,2,High Risk (Financial Leakage)
DEL-10650,DRV-025,02-09-2026 10:03,15540,2.85,0,1,0,2,High Risk (Financial Leakage)
DEL-10073,DRV-026,02-09-2026 08:48,18070,1.44,0,1,0,2,High Risk (Financial Leakage)
DEL-10382,DRV-026,02-09-2026 09:28,23554,3.56,0,1,0,2,High Risk (Financial Leakage)
DEL-10671,DRV-026,02-09-2026 10:22,16143,1.2,0,1,0,2,High Risk (Financial Leakage)
DEL-10764,DRV-026,02-09-2026 10:50,18382,2.17,0,1,0,2,High Risk (Financial Leakage)
DEL-10278,DRV-027,02-09-2026 08:14,16847,2.49,0,1,0,2,High Risk (Financial Leakage)
DEL-10626,DRV-028,02-09-2026 09:45,22884,4.82,0,1,0,2,High Risk (Financial Leakage)
DEL-10057,DRV-029,02-09-2026 08:10,23843,3.68,0,1,0,2,High Risk (Financial Leakage)
DEL-10146,DRV-030,02-09-2026 08:31,19671,2.98,0,1,0,2,High Risk (Financial Leakage)
DEL-10385,DRV-031,02-09-2026 09:13,18174,3.7,0,1,0,2,High Risk (Financial Leakage)
DEL-10699,DRV-031,02-09-2026 09:46,22729,3.45,0,1,0,2,High Risk (Financial Leakage)
DEL-10017,DRV-032,02-09-2026 08:11,21564,2.11,0,1,0,2,High Risk (Financial Leakage)
DEL-10494,DRV-032,02-09-2026 09:31,15044,1.35,0,1,0,2,High Risk (Financial Leakage)
DEL-10580,DRV-032,02-09-2026 09:36,18544,1.36,0,1,0,2,High Risk (Financial Leakage)
DEL-10860,DRV-033,02-09-2026 10:12,24634,2.53,0,1,0,2,High Risk (Financial Leakage)
DEL-10959,DRV-034,02-09-2026 10:49,16554,1.03,0,1,0,2,High Risk (Financial Leakage)
DEL-10129,DRV-035,02-09-2026 09:03,15075,1.89,0,1,0,2,High Risk (Financial Leakage)
DEL-10155,DRV-035,02-09-2026 09:31,15707,3.48,0,1,0,2,High Risk (Financial Leakage)
DEL-10781,DRV-035,02-09-2026 10:54,18184,2.45,0,1,0,2,High Risk (Financial Leakage)
DEL-10872,DRV-035,02-09-2026 11:22,18474,4.9,0,1,0,2,High Risk (Financial Leakage)
DEL-10969,DRV-035,02-09-2026 11:43,17889,4.36,0,1,0,2,High Risk (Financial Leakage)
DEL-10920,DRV-036,02-09-2026 12:38,19529,3.71,0,1,0,2,High Risk (Financial Leakage)
DEL-10534,DRV-037,02-09-2026 09:33,21862,4,0,1,0,2,High Risk (Financial Leakage)
DEL-10823,DRV-039,02-09-2026 10:30,23316,2.87,0,1,0,2,High Risk (Financial Leakage)
DEL-10905,DRV-039,02-09-2026 10:50,16926,3.1,0,1,0,2,High Risk (Financial Leakage)
DEL-10997,DRV-039,02-09-2026 11:08,18435,0.89,0,1,0,2,High Risk (Financial Leakage)
DEL-10487,DRV-040,02-09-2026 09:49,20700,4.67,0,1,0,2,High Risk (Financial Leakage)
DEL-10973,DRV-040,02-09-2026 11:24,20967,2.41,0,1,0,2,High Risk (Financial Leakage)
DEL-10001,DRV-041,02-09-2026 08:09,24799,1.92,0,1,0,2,High Risk (Financial Leakage)
DEL-10738,DRV-041,02-09-2026 10:52,21721,4.1,0,1,0,2,High Risk (Financial Leakage)
DEL-10413,DRV-042,02-09-2026 10:02,15238,3.2,0,1,0,2,High Risk (Financial Leakage)
DEL-10054,DRV-043,02-09-2026 08:11,15482,1.06,0,1,0,2,High Risk (Financial Leakage)
DEL-10955,DRV-043,02-09-2026 11:09,22130,1.14,0,1,0,2,High Risk (Financial Leakage)
DEL-10353,DRV-044,02-09-2026 09:07,16568,1.79,0,1,0,2,High Risk (Financial Leakage)
DEL-10647,DRV-044,02-09-2026 10:20,21851,4.46,0,1,0,2,High Risk (Financial Leakage)
DEL-10651,DRV-044,02-09-2026 10:29,20934,1.01,0,1,0,2,High Risk (Financial Leakage)
DEL-10719,DRV-044,02-09-2026 10:56,15262,4.84,0,1,0,2,High Risk (Financial Leakage)
DEL-10803,DRV-044,02-09-2026 11:11,23687,1.86,0,1,0,2,High Risk (Financial Leakage)
DEL-10960,DRV-044,02-09-2026 12:12,20987,4.94,0,1,0,2,High Risk (Financial Leakage)
DEL-10439,DRV-045,02-09-2026 09:12,16081,4.7,0,1,0,2,High Risk (Financial Leakage)
DEL-10530,DRV-045,02-09-2026 09:42,22074,3.31,0,1,0,2,High Risk (Financial Leakage)
DEL-10004,DRV-046,02-09-2026 08:04,18356,2.77,0,1,0,2,High Risk (Financial Leakage)
DEL-10993,DRV-047,02-09-2026 10:40,15122,1.47,0,1,0,2,High Risk (Financial Leakage)
DEL-10565,DRV-048,02-09-2026 09:39,15335,1.25,0,1,0,2,High Risk (Financial Leakage)
DEL-10767,DRV-048,02-09-2026 10:34,24287,2.65,0,1,0,2,High Risk (Financial Leakage)
DEL-10971,DRV-048,02-09-2026 11:02,24138,1.6,0,1,0,2,High Risk (Financial Leakage)
DEL-10498,DRV-049,02-09-2026 09:57,24059,5.03,0,1,0,2,High Risk (Financial Leakage)
DEL-10268,DRV-050,02-09-2026 09:08,20070,1.65,0,1,0,2,High Risk (Financial Leakage)
DEL-10273,DRV-050,02-09-2026 09:20,17783,4.24,0,1,0,2,High Risk (Financial Leakage)
DEL-10907,DRV-050,02-09-2026 11:20,16443,4.5,0,1,0,2,High Risk (Financial Leakage)
DEL-10887,DRV-001,02-09-2026 10:35,11703,30.06,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10036,DRV-003,02-09-2026 08:23,2821,33.24,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10062,DRV-003,02-09-2026 08:36,4786,23.36,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10421,DRV-003,02-09-2026 09:21,7750,20.02,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10049,DRV-004,02-09-2026 08:22,16123,29.23,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10713,DRV-004,02-09-2026 09:22,15391,17.86,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10293,DRV-009,02-09-2026 08:41,15497,16.36,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10573,DRV-009,02-09-2026 10:13,2520,23.26,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10504,DRV-011,02-09-2026 09:53,23570,25.31,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10677,DRV-011,02-09-2026 10:10,13718,27.77,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10745,DRV-012,02-09-2026 09:33,17052,17.17,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10590,DRV-013,02-09-2026 10:27,16629,17.51,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10739,DRV-013,02-09-2026 11:24,6313,28.07,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10363,DRV-019,02-09-2026 09:15,3089,26.37,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10747,DRV-019,02-09-2026 09:22,20759,18.25,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10479,DRV-022,02-09-2026 09:29,22688,31.63,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10445,DRV-023,02-09-2026 09:27,14822,16.83,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10509,DRV-025,02-09-2026 09:29,21262,17.41,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10045,DRV-026,02-09-2026 08:25,5894,22.42,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10463,DRV-026,02-09-2026 09:38,10050,19.11,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10513,DRV-028,02-09-2026 09:03,16710,33.17,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10945,DRV-028,02-09-2026 10:34,6741,18.14,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10104,DRV-030,02-09-2026 08:16,9024,22.92,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10577,DRV-030,02-09-2026 09:45,19305,27.55,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10742,DRV-030,02-09-2026 10:12,5572,28.04,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10958,DRV-030,02-09-2026 10:49,23846,31.85,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10888,DRV-032,02-09-2026 10:36,15694,32.72,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10539,DRV-033,02-09-2026 09:42,5591,16.27,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10770,DRV-036,02-09-2026 11:49,18511,19.16,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10184,DRV-037,02-09-2026 08:33,10195,27.11,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10386,DRV-039,02-09-2026 09:21,3182,28.31,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10454,DRV-039,02-09-2026 09:25,11130,34.3,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10139,DRV-040,02-09-2026 08:15,24751,29.91,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10347,DRV-040,02-09-2026 09:14,13376,19.01,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10339,DRV-042,02-09-2026 09:37,9863,22.13,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10472,DRV-042,02-09-2026 10:24,13594,27.61,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10085,DRV-043,02-09-2026 08:24,11483,21.18,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10227,DRV-043,02-09-2026 09:10,9263,19.87,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10330,DRV-044,02-09-2026 08:53,15361,17.2,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10544,DRV-045,02-09-2026 09:48,16766,18.85,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10728,DRV-045,02-09-2026 10:13,23776,30.99,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10587,DRV-048,02-09-2026 09:52,7689,16.02,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10228,DRV-049,02-09-2026 09:15,11635,20.67,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10446,DRV-050,02-09-2026 10:01,20016,27.73,1,0,0,1,Medium Risk (Distance Tampering)
DEL-10035,DRV-001,02-09-2026 08:13,21179,1.28,0,0,0,0,Low Risk
DEL-10159,DRV-001,02-09-2026 08:26,3554,2.87,0,0,0,0,Low Risk
DEL-10238,DRV-001,02-09-2026 08:37,14611,2.49,0,0,0,0,Low Risk
DEL-10282,DRV-001,02-09-2026 08:48,1122,4.34,0,0,0,0,Low Risk
DEL-10376,DRV-001,02-09-2026 09:02,10167,1.73,0,0,0,0,Low Risk
DEL-10379,DRV-001,02-09-2026 09:12,8217,4.87,0,0,0,0,Low Risk
DEL-10493,DRV-001,02-09-2026 09:25,6893,2.64,0,0,0,0,Low Risk
DEL-10511,DRV-001,02-09-2026 09:38,24509,3.54,0,0,0,0,Low Risk
DEL-10550,DRV-001,02-09-2026 09:49,15958,4.6,0,0,0,0,Low Risk
DEL-10559,DRV-001,02-09-2026 09:56,12829,1.43,0,0,0,0,Low Risk
DEL-10673,DRV-001,02-09-2026 10:01,8653,2.25,0,0,0,0,Low Risk
DEL-10689,DRV-001,02-09-2026 10:15,4118,1.6,0,0,0,0,Low Risk
DEL-10720,DRV-001,02-09-2026 10:21,2091,4.33,0,0,0,0,Low Risk
DEL-10766,DRV-001,02-09-2026 10:28,13413,2.19,0,0,0,0,Low Risk
DEL-10125,DRV-002,02-09-2026 08:08,7761,2.17,0,0,0,0,Low Risk
DEL-10209,DRV-002,02-09-2026 08:23,12238,1.14,0,0,0,0,Low Risk
DEL-10213,DRV-002,02-09-2026 08:26,16195,3.7,0,0,0,0,Low Risk
DEL-10230,DRV-002,02-09-2026 08:40,17882,2.55,0,0,0,0,Low Risk
DEL-10316,DRV-002,02-09-2026 08:48,19252,4.2,0,0,0,0,Low Risk
DEL-10327,DRV-002,02-09-2026 09:03,21519,3.54,0,0,0,0,Low Risk
DEL-10349,DRV-002,02-09-2026 09:13,22579,3.37,0,0,0,0,Low Risk
DEL-10402,DRV-002,02-09-2026 09:16,2704,2.87,0,0,0,0,Low Risk
DEL-10475,DRV-002,02-09-2026 09:31,10180,1.47,0,0,0,0,Low Risk
DEL-10495,DRV-002,02-09-2026 09:35,7726,2.11,0,0,0,0,Low Risk
DEL-10546,DRV-002,02-09-2026 09:38,14568,2.04,0,0,0,0,Low Risk
DEL-10589,DRV-002,02-09-2026 09:51,12023,3.27,0,0,0,0,Low Risk
DEL-10681,DRV-002,02-09-2026 10:12,4294,2.6,0,0,0,0,Low Risk
DEL-10946,DRV-002,02-09-2026 10:19,6046,3.52,0,0,0,0,Low Risk
DEL-10962,DRV-002,02-09-2026 10:29,9681,2.38,0,0,0,0,Low Risk
DEL-10003,DRV-003,02-09-2026 08:08,7664,3.18,0,0,0,0,Low Risk
DEL-10010,DRV-003,02-09-2026 08:18,9982,4.5,0,0,0,0,Low Risk
DEL-10307,DRV-003,02-09-2026 08:57,22751,2.48,0,0,0,0,Low Risk
DEL-10500,DRV-003,02-09-2026 09:33,11922,4.51,0,0,0,0,Low Risk
DEL-10536,DRV-003,02-09-2026 09:43,13540,3.51,0,0,0,0,Low Risk
DEL-10675,DRV-003,02-09-2026 09:55,10029,2.7,0,0,0,0,Low Risk
DEL-10716,DRV-003,02-09-2026 10:08,16635,1.44,0,0,0,0,Low Risk
DEL-10757,DRV-003,02-09-2026 10:21,2278,3.38,0,0,0,0,Low Risk
DEL-10786,DRV-003,02-09-2026 10:32,16479,2.13,0,0,0,0,Low Risk
DEL-10797,DRV-003,02-09-2026 10:46,19910,3.5,0,0,0,0,Low Risk
DEL-10798,DRV-003,02-09-2026 10:59,5312,2.01,0,0,0,0,Low Risk
DEL-10822,DRV-003,02-09-2026 11:05,13628,3.86,0,0,0,0,Low Risk
DEL-10892,DRV-003,02-09-2026 11:13,24595,2.93,0,0,0,0,Low Risk
DEL-10982,DRV-003,02-09-2026 11:24,17412,1.72,0,0,0,0,Low Risk
DEL-10020,DRV-004,02-09-2026 08:15,5508,4.15,0,0,0,0,Low Risk
DEL-10233,DRV-004,02-09-2026 08:28,9416,2.97,0,0,0,0,Low Risk
DEL-10256,DRV-004,02-09-2026 08:38,11753,3.03,0,0,0,0,Low Risk
DEL-10407,DRV-004,02-09-2026 08:49,19887,3.54,0,0,0,0,Low Risk
DEL-10571,DRV-004,02-09-2026 09:00,9025,4.83,0,0,0,0,Low Risk
DEL-10646,DRV-004,02-09-2026 09:07,19251,3.66,0,0,0,0,Low Risk
DEL-10736,DRV-004,02-09-2026 09:33,13199,4.84,0,0,0,0,Low Risk
DEL-10737,DRV-004,02-09-2026 09:42,8735,4,0,0,0,0,Low Risk
DEL-10885,DRV-004,02-09-2026 09:52,1225,2.11,0,0,0,0,Low Risk
DEL-10895,DRV-004,02-09-2026 10:05,7636,3.5,0,0,0,0,Low Risk
DEL-11000,DRV-004,02-09-2026 10:17,6340,3.58,0,0,0,0,Low Risk
DEL-10078,DRV-005,02-09-2026 08:09,11319,3.68,0,0,0,0,Low Risk
DEL-10107,DRV-005,02-09-2026 08:18,21856,4.8,0,0,0,0,Low Risk
DEL-10115,DRV-005,02-09-2026 08:32,11681,4.34,0,0,0,0,Low Risk
DEL-10253,DRV-005,02-09-2026 08:36,3458,2.87,0,0,0,0,Low Risk
DEL-10319,DRV-005,02-09-2026 08:47,10888,2.66,0,0,0,0,Low Risk
DEL-10427,DRV-005,02-09-2026 09:05,22396,2.64,0,0,0,0,Low Risk
DEL-10467,DRV-005,02-09-2026 09:11,13906,1.57,0,0,0,0,Low Risk
DEL-10469,DRV-005,02-09-2026 09:16,20093,3.15,0,0,0,0,Low Risk
DEL-10533,DRV-005,02-09-2026 09:18,895,1.54,0,0,0,0,Low Risk
DEL-10608,DRV-005,02-09-2026 09:21,1594,2.29,0,0,0,0,Low Risk
DEL-10756,DRV-005,02-09-2026 09:32,5538,3.88,0,0,0,0,Low Risk
DEL-10761,DRV-005,02-09-2026 09:44,16976,4.1,0,0,0,0,Low Risk
DEL-10773,DRV-005,02-09-2026 09:58,10913,2.32,0,0,0,0,Low Risk
DEL-10791,DRV-005,02-09-2026 10:01,12831,2.4,0,0,0,0,Low Risk
DEL-10106,DRV-006,02-09-2026 08:13,18175,1.91,0,0,0,0,Low Risk
DEL-10277,DRV-006,02-09-2026 08:28,7775,4.74,0,0,0,0,Low Risk
DEL-10301,DRV-006,02-09-2026 08:47,10187,3.46,0,0,0,0,Low Risk
DEL-10435,DRV-006,02-09-2026 08:58,21795,2.61,0,0,0,0,Low Risk
DEL-10437,DRV-006,02-09-2026 09:06,14718,3.24,0,0,0,0,Low Risk
DEL-10527,DRV-006,02-09-2026 09:14,5087,2.38,0,0,0,0,Low Risk
DEL-10603,DRV-006,02-09-2026 09:16,22455,2.77,0,0,0,0,Low Risk
DEL-10638,DRV-006,02-09-2026 09:23,7426,3.94,0,0,0,0,Low Risk
DEL-10690,DRV-006,02-09-2026 09:30,2959,4.62,0,0,0,0,Low Risk
