Delivery_ID,Driver_ID,Timestamp,Order_Value_INR,OBD_Status,Customer_Claim_Filed,GPS_Distance_KM,Odometer_Distance_KM
DEL-10059,DRV-007,2026-09-02 08:17:00,5593,Refused,No,15.11,15.63
DEL-10090,DRV-045,2026-09-02 08:17:00,2145,N/A,Yes,10.84,11.35
DEL-10200,DRV-047,2026-09-02 08:17:00,14094,N/A,Yes,3.94,4.11
DEL-10119,DRV-016,2026-09-02 08:17:00,3339,Refused,No,16.78,17.11
DEL-10181,DRV-044,2026-09-02 08:18:00,2920,Refused,No,11.39,11.95
DEL-10128,DRV-017,2026-09-02 08:18:00,24135,Accepted,No,5.38,5.46
DEL-10010,DRV-003,2026-09-02 08:18:00,9982,Accepted,Yes,13.56,14.17
DEL-10107,DRV-005,2026-09-02 08:18:00,21856,Accepted,Yes,15.84,16.6
DEL-10176,DRV-020,2026-09-02 08:18:00,2007,Refused,Yes,18.17,18.56
DEL-10093,DRV-036,2026-09-02 08:18:00,5715,N/A,No,9.47,9.74
DEL-10079,DRV-008,2026-09-02 08:19:00,10340,N/A,No,14.68,15.22
DEL-10096,DRV-021,2026-09-02 08:19:00,3140,Accepted,Yes,17.97,18.32
DEL-10124,DRV-016,2026-09-02 08:19:00,21664,N/A,No,14.12,14.51
DEL-10150,DRV-042,2026-09-02 08:19:00,9614,Accepted,No,9.4,9.73
DEL-10371,DRV-012,2026-09-02 08:20:00,6260,Accepted,No,8.94,9.31
DEL-10195,DRV-024,2026-09-02 08:20:00,8161,Refused,Yes,3.06,3.17
DEL-10081,DRV-043,2026-09-02 08:21:00,22694,N/A,Yes,18.87,19.52
DEL-10134,DRV-031,2026-09-02 08:21:00,11664,Accepted,Yes,10.1,10.3
DEL-10148,DRV-039,2026-09-02 08:22:00,3492,Accepted,Yes,5.76,6.05
DEL-10049,DRV-004,2026-09-02 08:22:00,16123,N/A,Yes,1.95,2.52
DEL-10205,DRV-022,2026-09-02 08:22:00,4626,N/A,Yes,5.63,5.7
DEL-10201,DRV-040,2026-09-02 08:23:00,9666,Accepted,No,8.75,8.91
DEL-10050,DRV-033,2026-09-02 08:23:00,6589,Accepted,Yes,2.52,2.61
DEL-10209,DRV-002,2026-09-02 08:23:00,12238,Accepted,No,3.5,3.54
DEL-10095,DRV-018,2026-09-02 08:23:00,23881,Refused,Yes,9.36,9.56
DEL-10036,DRV-003,2026-09-02 08:23:00,2821,N/A,Yes,17.33,23.09
DEL-10299,DRV-034,2026-09-02 08:23:00,3207,N/A,No,6.07,6.15
DEL-10186,DRV-048,2026-09-02 08:23:00,9878,Accepted,No,10.44,10.64
DEL-10135,DRV-031,2026-09-02 08:23:00,2641,Refused,No,3.17,3.21
DEL-10085,DRV-043,2026-09-02 08:24:00,11483,Accepted,Yes,13.03,15.79
DEL-10147,DRV-032,2026-09-02 08:24:00,20096,Accepted,No,9.32,9.69
DEL-10091,DRV-008,2026-09-02 08:24:00,15725,N/A,No,9.67,10.13
DEL-10103,DRV-038,2026-09-02 08:24:00,1388,Accepted,No,11.72,11.9
DEL-10133,DRV-009,2026-09-02 08:24:00,16585,Accepted,Yes,13.12,13.55
DEL-10153,DRV-019,2026-09-02 08:24:00,13622,N/A,Yes,13.59,13.97
DEL-10099,DRV-050,2026-09-02 08:25:00,23290,Accepted,No,12.1,12.45
DEL-10331,DRV-027,2026-09-02 08:25:00,7185,Refused,Yes,10.2,10.43
DEL-10045,DRV-026,2026-09-02 08:25:00,5894,Refused,Yes,18.15,22.22
DEL-10067,DRV-023,2026-09-02 08:25:00,13816,N/A,Yes,15.82,16.56
DEL-10086,DRV-015,2026-09-02 08:25:00,5328,Accepted,Yes,16.32,16.64
DEL-10123,DRV-013,2026-09-02 08:25:00,24095,Refused,No,2.63,2.71
DEL-10117,DRV-028,2026-09-02 08:26:00,17596,N/A,No,4.35,4.5
DEL-10138,DRV-025,2026-09-02 08:26:00,15007,Refused,No,9.56,9.77
DEL-10016,DRV-014,2026-09-02 08:26:00,19085,N/A,No,18.35,18.69
DEL-10231,DRV-022,2026-09-02 08:26:00,10711,N/A,No,3.99,4.15
DEL-10213,DRV-002,2026-09-02 08:26:00,16195,Refused,No,2.16,2.24
DEL-10120,DRV-030,2026-09-02 08:26:00,22395,Refused,No,11.83,11.96
DEL-10159,DRV-001,2026-09-02 08:26:00,3554,Accepted,Yes,11.49,11.82
DEL-10077,DRV-035,2026-09-02 08:27:00,24812,N/A,Yes,14.05,14.4
DEL-10165,DRV-029,2026-09-02 08:27:00,11809,Refused,No,11.23,11.55
DEL-10114,DRV-037,2026-09-02 08:27:00,11877,N/A,No,15.87,16.45
DEL-10157,DRV-019,2026-09-02 08:27:00,23380,Refused,Yes,9.32,9.42
DEL-10211,DRV-031,2026-09-02 08:27:00,12363,N/A,Yes,9.52,9.79
DEL-10233,DRV-004,2026-09-02 08:28:00,9416,Refused,No,13.81,14.22
DEL-10112,DRV-046,2026-09-02 08:28:00,19901,N/A,Yes,4.77,4.84
DEL-10277,DRV-006,2026-09-02 08:28:00,7775,Refused,No,18.98,19.88
DEL-10089,DRV-010,2026-09-02 08:28:00,681,Accepted,No,13.47,13.72
DEL-10171,DRV-042,2026-09-02 08:28:00,2951,Refused,No,19.43,19.89
DEL-10030,DRV-049,2026-09-02 08:28:00,4620,Accepted,No,11.12,11.65
DEL-10220,DRV-044,2026-09-02 08:29:00,2699,Accepted,Yes,18.54,18.79
DEL-10140,DRV-017,2026-09-02 08:29:00,18861,Refused,Yes,13.55,13.98
DEL-10053,DRV-014,2026-09-02 08:29:00,10795,Accepted,No,13.72,14.07
DEL-10315,DRV-033,2026-09-02 08:29:00,7085,Accepted,Yes,5.26,5.48
DEL-10136,DRV-041,2026-09-02 08:29:00,5471,Accepted,No,14.04,14.23
DEL-10024,DRV-011,2026-09-02 08:29:00,24161,N/A,No,9.62,10.09
DEL-10111,DRV-007,2026-09-02 08:30:00,10722,N/A,No,12.0,12.31
DEL-10137,DRV-016,2026-09-02 08:30:00,14137,N/A,Yes,3.25,3.38
DEL-10216,DRV-039,2026-09-02 08:30:00,15367,N/A,No,11.08,11.23
DEL-10326,DRV-047,2026-09-02 08:30:00,11563,N/A,Yes,18.14,18.92
DEL-10182,DRV-020,2026-09-02 08:30:00,14403,N/A,No,13.14,13.51
DEL-10146,DRV-030,2026-09-02 08:31:00,19671,Refused,Yes,14.08,14.5
DEL-10142,DRV-015,2026-09-02 08:31:00,9764,N/A,No,6.47,6.55
DEL-10097,DRV-045,2026-09-02 08:31:00,7510,Accepted,No,3.9,4.0
DEL-10160,DRV-008,2026-09-02 08:31:00,5545,Refused,No,13.31,13.71
DEL-10193,DRV-036,2026-09-02 08:31:00,13429,Accepted,No,7.95,8.2
DEL-10131,DRV-013,2026-09-02 08:31:00,12325,Accepted,No,6.63,6.7
DEL-10258,DRV-040,2026-09-02 08:32:00,12717,Refused,No,4.02,4.13
DEL-10115,DRV-005,2026-09-02 08:32:00,11681,Accepted,No,10.61,11.07
DEL-10265,DRV-028,2026-09-02 08:32:00,1097,Refused,No,10.66,10.84
DEL-10075,DRV-023,2026-09-02 08:33:00,10778,Refused,Yes,14.84,15.22
DEL-10105,DRV-021,2026-09-02 08:33:00,12923,Refused,No,7.41,7.56
DEL-10184,DRV-037,2026-09-02 08:33:00,10195,N/A,No,7.82,9.94
DEL-10243,DRV-024,2026-09-02 08:33:00,3968,Accepted,No,2.67,2.76
DEL-10279,DRV-006,2026-09-02 08:33:00,1423,Refused,Yes,8.12,8.47
DEL-10313,DRV-044,2026-09-02 08:33:00,10972,N/A,No,19.38,20.12
DEL-10151,DRV-032,2026-09-02 08:34:00,15901,Refused,No,19.41,19.86
DEL-10190,DRV-009,2026-09-02 08:34:00,12488,N/A,No,15.94,16.63
DEL-10172,DRV-045,2026-09-02 08:34:00,3131,Refused,No,8.55,8.96
DEL-10372,DRV-012,2026-09-02 08:34:00,9985,Accepted,Yes,18.8,19.21
DEL-10113,DRV-050,2026-09-02 08:34:00,22921,N/A,Yes,6.73,7.01
DEL-10168,DRV-025,2026-09-02 08:35:00,17445,Refused,Yes,8.34,8.59
DEL-10162,DRV-010,2026-09-02 08:35:00,20140,N/A,Yes,8.29,8.66
DEL-10224,DRV-039,2026-09-02 08:35:00,3894,N/A,Yes,6.94,7.05
DEL-10432,DRV-012,2026-09-02 08:36:00,3656,N/A,Yes,3.03,3.09
DEL-10367,DRV-027,2026-09-02 08:36:00,15979,Accepted,Yes,7.28,7.35
DEL-10259,DRV-022,2026-09-02 08:36:00,2215,N/A,No,13.9,14.08
DEL-10180,DRV-017,2026-09-02 08:36:00,22351,Accepted,No,9.73,10.18
DEL-10084,DRV-014,2026-09-02 08:36:00,24615,Accepted,Yes,10.71,10.94
DEL-10240,DRV-048,2026-09-02 08:36:00,1114,Refused,Yes,1.8,1.88
DEL-10350,DRV-047,2026-09-02 08:36:00,21119,Accepted,No,17.57,17.93
DEL-10062,DRV-003,2026-09-02 08:36:00,4786,N/A,No,1.07,1.32
DEL-10116,DRV-007,2026-09-02 08:36:00,12368,N/A,No,9.24,9.59
DEL-10253,DRV-005,2026-09-02 08:36:00,3458,N/A,No,13.25,13.63
DEL-10109,DRV-043,2026-09-02 08:36:00,7642,Refused,No,3.17,3.3
DEL-10239,DRV-046,2026-09-02 08:36:00,18808,N/A,No,5.37,5.44
DEL-10158,DRV-041,2026-09-02 08:36:00,8341,N/A,Yes,12.57,12.85
DEL-10170,DRV-029,2026-09-02 08:37:00,15472,Accepted,Yes,2.89,2.97
DEL-10333,DRV-033,2026-09-02 08:37:00,10956,Accepted,No,11.67,11.84
DEL-10238,DRV-001,2026-09-02 08:37:00,14611,Accepted,Yes,10.45,10.71
DEL-10285,DRV-040,2026-09-02 08:38:00,4132,Refused,Yes,9.69,10.03
DEL-10298,DRV-025,2026-09-02 08:38:00,6621,Refused,No,7.44,7.62
DEL-10101,DRV-018,2026-09-02 08:38:00,1451,Refused,No,9.28,9.62
DEL-10256,DRV-004,2026-09-02 08:38:00,11753,N/A,Yes,9.56,9.85
DEL-10323,DRV-034,2026-09-02 08:38:00,3084,Refused,Yes,18.0,18.64
DEL-10232,DRV-037,2026-09-02 08:39:00,2223,Accepted,Yes,12.33,12.83
DEL-10264,DRV-022,2026-09-02 08:39:00,22458,N/A,Yes,16.45,17.04
DEL-10126,DRV-038,2026-09-02 08:39:00,18636,N/A,No,8.01,8.23
DEL-10098,DRV-035,2026-09-02 08:39:00,2540,Accepted,No,9.85,10.1
DEL-10230,DRV-002,2026-09-02 08:40:00,17882,Accepted,No,2.74,2.81
DEL-10217,DRV-045,2026-09-02 08:40:00,21953,N/A,Yes,3.17,3.26
DEL-10302,DRV-028,2026-09-02 08:40:00,15045,Refused,No,4.17,4.22
DEL-10174,DRV-016,2026-09-02 08:40:00,9916,Accepted,Yes,12.99,13.35
DEL-10072,DRV-026,2026-09-02 08:40:00,2774,Refused,No,7.24,7.5
DEL-10225,DRV-031,2026-09-02 08:40:00,4046,Refused,No,5.26,5.34
DEL-10164,DRV-019,2026-09-02 08:41:00,19732,N/A,No,14.79,15.45
DEL-10263,DRV-046,2026-09-02 08:41:00,10644,N/A,No,18.82,19.49
DEL-10066,DRV-003,2026-09-02 08:41:00,7383,N/A,Yes,18.08,18.74
DEL-10352,DRV-038,2026-09-02 08:41:00,17678,N/A,No,10.13,10.29
DEL-10293,DRV-009,2026-09-02 08:41:00,15497,Accepted,No,2.2,2.56
DEL-10320,DRV-044,2026-09-02 08:41:00,4705,N/A,Yes,10.83,11.27
DEL-10032,DRV-049,2026-09-02 08:42:00,7091,N/A,No,14.87,15.26
DEL-10196,DRV-036,2026-09-02 08:42:00,20491,Accepted,Yes,7.23,7.49
DEL-10156,DRV-032,2026-09-02 08:42:00,2191,Accepted,No,12.88,13.29
DEL-10175,DRV-007,2026-09-02 08:42:00,23565,Accepted,No,15.45,15.71
DEL-10203,DRV-042,2026-09-02 08:42:00,13546,Refused,Yes,7.81,8.19
DEL-10183,DRV-020,2026-09-02 08:43:00,13105,Refused,Yes,4.79,4.88
DEL-10192,DRV-030,2026-09-02 08:43:00,5112,Accepted,No,19.29,20.23
DEL-10031,DRV-011,2026-09-02 08:43:00,20376,Refused,Yes,6.04,6.32
DEL-10143,DRV-015,2026-09-02 08:43:00,20981,N/A,Yes,18.55,19.05
DEL-10100,DRV-023,2026-09-02 08:44:00,13279,Refused,Yes,6.67,6.87
DEL-10270,DRV-024,2026-09-02 08:44:00,8283,Refused,No,13.85,14.41
DEL-10266,DRV-014,2026-09-02 08:45:00,16434,Accepted,Yes,7.49,7.86
DEL-10152,DRV-043,2026-09-02 08:45:00,5769,Refused,No,2.99,3.1
DEL-10187,DRV-013,2026-09-02 08:45:00,22708,N/A,Yes,12.8,13.25
DEL-10506,DRV-027,2026-09-02 08:45:00,9587,N/A,Yes,18.46,19.16
DEL-10173,DRV-041,2026-09-02 08:46:00,16489,N/A,Yes,14.66,15.17
DEL-10235,DRV-008,2026-09-02 08:46:00,22732,N/A,No,6.38,6.58
DEL-10191,DRV-017,2026-09-02 08:46:00,16289,Refused,No,18.37,19.14
DEL-10335,DRV-040,2026-09-02 08:47:00,5733,Refused,No,8.94,9.1
DEL-10301,DRV-006,2026-09-02 08:47:00,10187,Refused,No,7.23,7.48
DEL-10348,DRV-033,2026-09-02 08:47:00,17943,Refused,No,16.74,17.23
DEL-10194,DRV-030,2026-09-02 08:47:00,22531,Refused,No,8.0,8.34
DEL-10344,DRV-022,2026-09-02 08:47:00,12480,Accepted,Yes,11.6,12.0
DEL-10319,DRV-005,2026-09-02 08:47:00,10888,N/A,Yes,3.38,3.47
DEL-10311,DRV-014,2026-09-02 08:47:00,9857,N/A,No,19.93,20.29
DEL-10274,DRV-039,2026-09-02 08:47:00,8692,Accepted,No,3.63,3.79
DEL-10073,DRV-026,2026-09-02 08:48:00,18070,Refused,Yes,13.91,14.11
DEL-10316,DRV-002,2026-09-02 08:48:00,19252,Refused,No,7.86,8.19
DEL-10212,DRV-015,2026-09-02 08:48:00,1920,N/A,No,18.96,19.5
DEL-10121,DRV-021,2026-09-02 08:48:00,7450,Refused,No,4.45,4.56
DEL-10488,DRV-038,2026-09-02 08:48:00,4889,Refused,Yes,2.61,2.66
DEL-10282,DRV-001,2026-09-02 08:48:00,1122,Refused,Yes,18.21,19.0
DEL-10167,DRV-050,2026-09-02 08:48:00,10926,N/A,No,8.8,9.14
DEL-10281,DRV-031,2026-09-02 08:49:00,5047,N/A,No,14.23,14.63
DEL-10310,DRV-025,2026-09-02 08:49:00,4358,Refused,No,18.36,19.06
DEL-10118,DRV-035,2026-09-02 08:49:00,15732,Refused,No,15.72,16.08
DEL-10110,DRV-011,2026-09-02 08:49:00,24039,Accepted,Yes,12.51,13.12
DEL-10207,DRV-010,2026-09-02 08:49:00,20029,Accepted,No,15.98,16.69
DEL-10407,DRV-004,2026-09-02 08:49:00,19887,N/A,Yes,11.58,11.99
DEL-10291,DRV-048,2026-09-02 08:50:00,4871,Accepted,No,15.38,15.87
DEL-10312,DRV-009,2026-09-02 08:50:00,15312,Accepted,No,17.2,18.06
DEL-10179,DRV-016,2026-09-02 08:50:00,19608,Accepted,Yes,10.46,10.76
DEL-10551,DRV-012,2026-09-02 08:50:00,1658,N/A,No,18.69,19.04
DEL-10401,DRV-047,2026-09-02 08:50:00,1555,N/A,No,15.54,16.08
DEL-10338,DRV-014,2026-09-02 08:50:00,2094,Accepted,No,12.08,12.44
DEL-10558,DRV-027,2026-09-02 08:50:00,18245,Refused,Yes,1.45,1.52
DEL-10557,DRV-038,2026-09-02 08:51:00,6903,N/A,Yes,19.47,19.78
DEL-10044,DRV-049,2026-09-02 08:51:00,5949,Refused,No,17.13,17.63
DEL-10161,DRV-018,2026-09-02 08:51:00,16310,Refused,Yes,8.89,9.14
DEL-10202,DRV-029,2026-09-02 08:52:00,12384,Accepted,No,19.06,19.67
DEL-10356,DRV-034,2026-09-02 08:52:00,11151,N/A,No,4.94,5.09
DEL-10214,DRV-032,2026-09-02 08:52:00,15034,Accepted,Yes,14.54,14.87
DEL-10318,DRV-046,2026-09-02 08:52:00,17725,Refused,No,14.66,15.29
DEL-10169,DRV-003,2026-09-02 08:52:00,19839,Refused,Yes,3.4,3.55
DEL-10185,DRV-043,2026-09-02 08:52:00,765,N/A,Yes,8.52,8.92
DEL-10288,DRV-024,2026-09-02 08:52:00,17737,N/A,Yes,2.29,2.35
DEL-10394,DRV-005,2026-09-02 08:52:00,15968,Accepted,No,19.74,20.26
DEL-10287,DRV-023,2026-09-02 08:52:00,14150,Accepted,Yes,5.57,5.74
DEL-10246,DRV-013,2026-09-02 08:52:00,11948,Refused,Yes,18.21,18.56
DEL-10340,DRV-028,2026-09-02 08:53:00,9166,N/A,No,3.54,3.68
DEL-10306,DRV-016,2026-09-02 08:53:00,12503,Refused,No,15.79,16.55
DEL-10330,DRV-044,2026-09-02 08:53:00,15361,Accepted,Yes,8.72,10.22
DEL-10375,DRV-008,2026-09-02 08:53:00,24457,Refused,No,7.28,7.56
DEL-10248,DRV-042,2026-09-02 08:54:00,21076,Refused,No,2.43,2.53
DEL-10198,DRV-003,2026-09-02 08:54:00,10473,Refused,Yes,18.98,19.24
DEL-10241,DRV-037,2026-09-02 08:54:00,13752,N/A,No,9.16,9.36
DEL-10094,DRV-049,2026-09-02 08:54:00,21394,Refused,No,5.7,5.9
DEL-10269,DRV-045,2026-09-02 08:54:00,5924,N/A,No,15.65,15.83
DEL-10284,DRV-019,2026-09-02 08:55:00,4492,Accepted,Yes,5.52,5.67
DEL-10598,DRV-038,2026-09-02 08:55:00,12898,Refused,No,16.47,16.72
DEL-10154,DRV-021,2026-09-02 08:55:00,4298,Refused,Yes,5.8,6.01
DEL-10218,DRV-015,2026-09-02 08:55:00,15360,Refused,No,8.86,9.21
DEL-10210,DRV-017,2026-09-02 08:55:00,24804,Refused,Yes,2.0,2.08
DEL-10584,DRV-012,2026-09-02 08:55:00,20066,Accepted,Yes,1.5,1.57
DEL-10621,DRV-027,2026-09-02 08:55:00,19824,Accepted,Yes,19.44,20.29
DEL-10222,DRV-036,2026-09-02 08:55:00,22454,Accepted,No,11.67,11.95
DEL-10102,DRV-026,2026-09-02 08:55:00,15815,Accepted,Yes,14.76,15.44
DEL-10272,DRV-013,2026-09-02 08:56:00,19191,Refused,No,7.99,8.32
DEL-10197,DRV-030,2026-09-02 08:56:00,10402,N/A,No,18.28,18.55
DEL-10221,DRV-007,2026-09-02 08:56:00,12710,Accepted,Yes,15.15,15.66
DEL-10365,DRV-045,2026-09-02 08:56:00,4079,N/A,Yes,6.16,6.28
DEL-10300,DRV-039,2026-09-02 08:56:00,6413,N/A,No,19.91,20.36
DEL-10223,DRV-043,2026-09-02 08:57:00,14358,N/A,Yes,18.88,19.8
DEL-10307,DRV-003,2026-09-02 08:57:00,22751,Refused,No,12.5,12.81
DEL-10236,DRV-020,2026-09-02 08:57:00,13451,N/A,Yes,1.86,1.88
DEL-10575,DRV-017,2026-09-02 08:57:00,2957,Accepted,Yes,18.43,18.76
DEL-10290,DRV-023,2026-09-02 08:57:00,11798,Accepted,Yes,15.98,16.63
DEL-10418,DRV-016,2026-09-02 08:58:00,9775,Refused,No,11.49,11.85
DEL-10588,DRV-012,2026-09-02 08:58:00,19915,Refused,No,4.35,4.55
DEL-10388,DRV-033,2026-09-02 08:58:00,18085,Accepted,Yes,4.84,4.95
DEL-10188,DRV-041,2026-09-02 08:58:00,10623,Refused,Yes,13.28,13.72
DEL-10435,DRV-006,2026-09-02 08:58:00,21795,Accepted,Yes,13.42,13.77
DEL-10364,DRV-048,2026-09-02 08:59:00,7121,N/A,No,10.1,10.58
DEL-10260,DRV-007,2026-09-02 08:59:00,13166,Refused,No,11.6,12.05
DEL-10405,DRV-047,2026-09-02 08:59:00,19422,N/A,No,11.95,12.18
DEL-10234,DRV-029,2026-09-02 08:59:00,7563,N/A,Yes,8.87,9.08
DEL-10255,DRV-037,2026-09-02 09:00:00,11035,N/A,No,13.38,13.78
DEL-10343,DRV-040,2026-09-02 09:00:00,4393,Accepted,Yes,13.93,14.29
DEL-10250,DRV-041,2026-09-02 09:00:00,14910,Accepted,No,7.01,7.2
DEL-10204,DRV-030,2026-09-02 09:00:00,7450,N/A,Yes,2.74,2.77
DEL-10396,DRV-025,2026-09-02 09:00:00,12869,Refused,Yes,9.52,9.88
DEL-10408,DRV-028,2026-09-02 09:00:00,2036,Refused,No,11.56,12.04
DEL-10503,DRV-014,2026-09-02 09:00:00,19180,Refused,No,16.3,16.85
DEL-10400,DRV-015,2026-09-02 09:00:00,11842,Accepted,No,5.7,5.8
